Sadie; https://g.petango.com/photos/1963/2b0f60ba-4da6-4b8d-b381-8f424eebcc35.jpg; 5; true; I originally came to PAWS from Hawaii, I was adopted but find myself back at PAWS because I am a princess who wants to be the only kitty in my castle and the center of your world.; adoptable; cat
Macklemeow; https://g.petango.com/photos/337/065a8037-c907-4f4b-90fb-50d643342b40.jpg; 4; true; I'm currently in the process of being adopted!; pending; cat
Starlet; https://pet-uploads.adoptapet.com/2/7/5/352566761.jpg; 5; true; I am social and sweet, and  learning that I can have a wonderful new life with people who care; adoptable; cat
Eartha; https://pet-uploads.adoptapet.com/5/8/7/352561196.jpg; 3; true; I never had a friend in my life hence I need a dedicated special friend; adoptable; cat
Dash; https://pet-uploads.adoptapet.com/d/1/a/352570159.jpg; 6; true; My name is Dash and Look how gorgeous I am. I am ready to be your friend; pending; cat
Elizabeth; https://pet-uploads.adoptapet.com/7/f/1/442558866.jpg; 3; true; I am from California and I am very shy and will require someone with patience; pending; cat
Mimi; https://pet-uploads.adoptapet.com/7/3/7/419480378.jpg; 2; true; I am a sweet little girl and my favorite place to be is on my friend's lap; adoptable; cat
Bunny; https://pet-uploads.adoptapet.com/2/d/0/481834590.jpg; 4; true; I am a sweet, 4 year old girl with a super soft coat; pending; cat
Kasan; https://pet-uploads.adoptapet.com/f/b/7/266366117.jpg; 3; true; I am a beautiful charming girl with a big and fun personality; adoptable; cat
Marge; https://g.petango.com/photos/1963/786f5075-08f0-4947-87fa-40d6af12f515.jpg; 9; true; I found myself displaced while living in California. I traveled to the Pacific Northwest to find my lucky break at being adopted.; adoptable; dog
George; https://g.petango.com/photos/1963/c14f2795-62ae-44f3-b89e-77d04f68ac1d.jpg; 1; true; I originally came from Texas and was adopted last year, then was returned back to PAWS in December.; adoptable; dog
Trixie; https://g.petango.com/photos/337/35fdd1e7-6cb3-40c0-ba0d-59b967e9d3cc.jpg; 2; true; I'm currently in the process of being adopted!; pending; rabbit
Benjamin; https://g.petango.com/photos/337/1d555baa-f4c7-456e-a2c4-c4361d0dcc46.jpg; 2; true; I would love a home with a lot of room to run around and lots of toys to play with and chew on!; available; rabbit
Bowie; https://bit.ly/31oh5tu; 8; true; Bowie is a curious bun who LOVES to run around and binky and zoom around when he gets a chance!! He is bold and sometimes territorial in his area but once he is out and about he is a lot better. He is Ok with the occasional cuddle but prefers to have all four feet on the ground. He's improved greatly on his litterbox skills since arriving.; adoptable; rabbit
Nicky; https://bit.ly/31ksRFx; 2; true; Most rabbits at Big Sky are generally large, and some are more social than others. All are spayed/neutered and ready for adoption.; adoptable; rabbit
Merry & Pippin; https://bit.ly/31lWiXD; 3; true; Merry & Pippin are best buds that are never far apart from one another, so they need to be adopted together. Merry has brown eyes & Pippin has grey eyes, otherwise these guys look pretty identical!  These boys are outgoing and climb over one another to greet you at dinnertime! They are explorers but also love to chill. They are also curious yet shy.; adoptable; rabbit
Picasso; https://bit.ly/2QD68Ch; 2; true; Meet Picasso at Jefferson Feed - Uptown, 6047 Magazine St, New Orleans, LA 70118. (504) 218-4220; adoptable; rabbit
Bambi; https://bit.ly/2NWBqmP; 1; true; This is one of the 9 rabbits dumped in our local woods. She is litter box trained. She is curious but scared. She will do good if she can get in a home that will spend time with her, give her out of cage time and lots of love and patience. She needs to go to an experienced rabbit owner as she is cage aggressive.; adoptable; rabbit
Licorice; https://bit.ly/3w0stdl; 1; true; This is one of the 9 rabbits dumped in our local woods. She is litter box trained. She is curious but scared. She will do good if she can get in a home that will spend time with her, give her out of cage time and lots of love and patience. She needs to go to an experienced rabbit owner as she is cage aggressive.; adoptable; rabbit
Sadie; https://g.petango.com/photos/1963/2b0f60ba-4da6-4b8d-b381-8f424eebcc35.jpg; 5; true; I originally came to PAWS from Hawaii, I was adopted but find myself back at PAWS because I am a princess who wants to be the only kitty in my castle and the center of your world.; adoptable; cat
Macklemeow; https://g.petango.com/photos/337/065a8037-c907-4f4b-90fb-50d643342b40.jpg; 4; true; I'm currently in the process of being adopted!; pending; cat
Marge; https://g.petango.com/photos/1963/786f5075-08f0-4947-87fa-40d6af12f515.jpg; 9; true; I found myself displaced while living in California. I traveled to the Pacific Northwest to find my lucky break at being adopted.; adoptable; dog
George; https://g.petango.com/photos/1963/c14f2795-62ae-44f3-b89e-77d04f68ac1d.jpg; 1; true; I originally came from Texas and was adopted last year, then was returned back to PAWS in December.; adoptable; dog
Trixie; https://g.petango.com/photos/337/35fdd1e7-6cb3-40c0-ba0d-59b967e9d3cc.jpg; 2; true; I'm currently in the process of being adopted!; pending; rabbit
Benjamin; https://g.petango.com/photos/337/1d555baa-f4c7-456e-a2c4-c4361d0dcc46.jpg; 2; true; I would love a home with a lot of room to run around and lots of toys to play with and chew on!; available; rabbit
Frank; https://www.thesprucepets.com/thmb/uc2gXpMNpSegoPUHMNHTC5BGQtQ=/1080x1075/filters:no_upscale():max_bytes(150000):strip_icc()/19933184_104417643500613_5541725731421159424_n-5ba0548546e0fb0050edecc0.jpg; 6; true; I would love a home with a lot of room to run around and lots of toys to play with and chew on!; available; dog
